FID_x,FID_y,TOTAL_D
0,1,65
54,1,55
0,16,60
1,2,65
8189,2,60
1,17,55
16,17,60
2,3,65
56,3,55
2,8188,60
3,4,65
8190,4,60
3,19,55
18,19,55
4,5,65
58,5,55
4,8962,60
5,6,65
8191,6,60
5,21,55
20,21,50
6,7,65
60,7,55
6,8187,60
7,8,65
7,23,55
22,23,50
8,9,65
61,9,55
8,24,55
23,24,55
9,10,65
9,25,55
24,25,50
10,11,65
62,11,55
10,26,55
25,26,50
11,12,65
8192,12,60
11,27,55
26,27,50
12,13,65
64,13,55
12,8186,60
13,14,65
8193,14,60
13,29,55
28,29,50
14,15,65
66,15,60
14,30,55
29,30,45
16,31,60
17,18,55
8188,18,55
17,32,60
31,32,60
18,33,50
32,33,55
19,20,50
8962,20,50
19,34,50
33,34,55
20,35,50
34,35,55
21,22,50
8187,22,50
21,36,50
35,36,55
22,37,45
36,37,55
23,38,50
37,38,45
24,39,45
38,39,50
25,40,50
39,40,45
49,40,45
26,51,45
40,51,45
27,28,45
8186,28,50
27,50,45
51,50,45
31,41,60
32,42,45
9320,42,55
33,43,45
42,43,55
34,44,50
43,44,50
35,45,50
44,45,50
36,46,45
45,46,45
37,47,50
46,47,40
38,48,45
47,48,45
39,49,45
48,49,40
15,52,60
15,85,65
8194,85,60
53,54,60
97,54,50
53,0,65
54,55,50
98,55,50
55,56,50
99,56,55
55,8189,50
56,57,50
100,57,45
57,58,50
101,58,45
57,8190,50
58,59,50
102,59,50
59,60,50
103,60,50
59,8191,50
62,63,55
78,63,40
63,64,50
79,64,50
63,8192,50
64,65,55
80,65,50
65,66,55
81,66,55
65,8193,55
66,67,60
82,67,50
67,68,55
83,68,50
67,8194,50
68,69,55
84,69,55
68,93,55
85,93,65
69,70,55
86,70,45
69,95,50
70,71,50
87,71,50
71,72,55
88,72,45
71,9436,50
96,9436,50
72,73,55
89,73,50
73,74,55
90,74,45
75,76,45
104,76,55
77,78,55
77,62,55
61,62,50
78,79,55
79,80,50
80,81,55
81,82,50
82,83,50
118,83,50
83,84,55
134,84,55
86,87,55
87,88,55
88,89,50
89,90,50
90,91,50
91,92,50
91,8694,55
8693,8694,50
84,86,55
97,98,50
97,163,45
164,163,50
98,99,55
162,99,55
99,100,55
100,101,55
101,102,55
102,103,50
76,103,50
60,61,50
105,106,60
119,106,55
105,161,65
105,9432,65
159,9432,60
106,107,55
120,107,50
106,141,50
107,108,55
121,108,60
107,143,45
141,143,45
108,109,55
122,109,50
108,144,55
143,144,50
109,110,50
123,110,55
110,111,55
124,111,50
111,104,55
125,104,60
115,116,55
130,116,50
115,77,55
76,77,45
116,117,55
131,117,50
117,118,55
132,118,55
117,9337,45
159,119,65
159,105,60
119,120,65
120,121,65
135,121,55
121,122,65
122,123,60
136,123,50
123,124,65
124,125,65
137,125,60
125,126,60
126,127,60
126,112,50
104,112,55
127,128,60
127,138,50
137,138,55
127,113,50
112,113,55
128,129,60
128,114,50
113,114,55
129,130,60
129,139,55
138,139,55
129,115,60
114,115,55
130,131,60
131,132,55
140,132,60
133,134,60
118,134,50
133,7483,55
7482,7483,55
8000,7483,60
135,136,60
136,137,60
7530,137,65
139,140,55
8827,140,60
139,7481,65
7530,7481,70
140,8000,55
8828,8000,60
141,142,45
144,145,55
142,145,50
146,147,70
146,196,70
170,196,65
146,7531,70
146,173,70
147,148,70
154,148,65
150,148,65
147,149,65
7531,149,60
149,150,60
157,150,65
149,7527,60
157,7527,60
7531,7527,65
151,152,60
242,152,55
152,153,60
244,153,55
153,154,65
148,154,65
153,247,55
245,247,45
154,155,65
154,225,65
155,156,70
155,217,60
220,217,45
148,151,65
198,151,60
197,151,60
