FID_x,FID_y,Rang
0,1,15
54,1,15
0,16,15
1,2,15
8189,2,15
1,17,15
16,17,10
2,3,15
56,3,10
2,8188,15
3,4,15
8190,4,15
3,19,10
18,19,10
4,5,15
58,5,10
4,8962,15
5,6,15
8191,6,15
5,21,10
20,21,10
6,7,15
60,7,10
6,8187,15
7,8,15
7,23,10
22,23,10
8,9,15
61,9,10
8,24,10
23,24,10
9,10,15
9,25,10
24,25,10
10,11,15
62,11,10
10,26,10
25,26,10
11,12,15
8192,12,15
11,27,10
26,27,10
12,13,15
64,13,10
12,8186,15
13,14,15
8193,14,15
13,29,10
28,29,10
14,15,15
66,15,10
14,30,10
29,30,10
16,31,15
17,18,10
8188,18,10
17,32,10
31,32,15
18,33,10
32,33,10
19,20,10
8962,20,10
19,34,10
33,34,10
20,35,10
34,35,10
21,22,10
8187,22,10
21,36,10
35,36,10
22,37,10
36,37,10
23,38,10
37,38,10
24,39,10
38,39,10
25,40,10
39,40,10
49,40,10
26,51,10
40,51,10
27,28,10
8186,28,10
27,50,10
51,50,10
31,41,10
32,42,10
9320,42,10
33,43,10
42,43,10
34,44,10
43,44,10
35,45,10
44,45,10
36,46,10
45,46,10
37,47,10
46,47,10
38,48,10
47,48,10
39,49,10
48,49,10
15,52,10
15,85,15
8194,85,10
53,54,15
97,54,10
53,0,10
54,55,10
98,55,10
55,56,10
99,56,10
55,8189,10
56,57,10
100,57,10
57,58,10
101,58,10
57,8190,10
58,59,10
102,59,10
59,60,10
103,60,10
59,8191,10
62,63,10
78,63,10
63,64,10
79,64,10
63,8192,10
64,65,10
80,65,10
65,66,10
81,66,10
65,8193,10
66,67,10
82,67,10
67,68,10
83,68,10
67,8194,10
68,69,10
84,69,10
68,93,10
85,93,15
69,70,10
86,70,10
69,95,10
70,71,10
87,71,10
71,72,10
88,72,10
71,9436,10
96,9436,10
72,73,10
89,73,10
73,74,10
90,74,10
75,76,10
104,76,10
77,78,10
77,62,10
61,62,10
78,79,10
79,80,10
80,81,10
81,82,10
82,83,10
118,83,10
83,84,10
134,84,10
86,87,10
87,88,10
88,89,10
89,90,10
90,91,10
91,92,10
91,8694,10
8693,8694,10
84,86,10
97,98,10
97,163,15
164,163,15
98,99,10
162,99,10
99,100,10
100,101,10
101,102,10
102,103,10
76,103,10
60,61,10
105,106,15
119,106,15
105,161,15
105,9432,15
159,9432,15
106,107,15
120,107,15
106,141,15
107,108,15
121,108,15
107,143,15
141,143,10
108,109,10
122,109,15
108,144,10
143,144,10
109,110,10
123,110,15
110,111,10
124,111,15
111,104,10
125,104,15
115,116,10
130,116,10
115,77,10
76,77,10
116,117,10
131,117,10
117,118,10
132,118,10
117,9337,10
159,119,15
159,105,15
119,120,15
120,121,15
135,121,15
121,122,15
122,123,15
136,123,15
123,124,15
124,125,15
137,125,15
125,126,15
126,127,15
126,112,15
104,112,10
127,128,15
127,138,15
137,138,15
127,113,15
112,113,10
128,129,15
128,114,15
113,114,10
129,130,15
129,139,15
138,139,15
129,115,15
114,115,10
130,131,15
131,132,15
140,132,15
133,134,10
118,134,10
133,7483,10
7482,7483,10
8000,7483,10
135,136,15
136,137,15
7530,137,25
139,140,15
8827,140,15
139,7481,20
7530,7481,25
140,8000,15
8828,8000,15
141,142,15
144,145,10
142,145,10
146,147,20
146,196,20
170,196,20
146,7531,20
146,173,20
147,148,15
154,148,15
150,148,15
147,149,20
7531,149,15
149,150,15
157,150,15
149,7527,15
157,7527,15
7531,7527,15
151,152,10
242,152,10
152,153,10
244,153,10
153,154,15
148,154,15
153,247,10
245,247,10
154,155,15
154,225,15
155,156,15
155,217,15
220,217,10
148,151,15
198,151,10
197,151,15
158,160,15
9433,160,15
158,220,15
142,164,15
163,162,10
145,162,10
167,168,15
181,168,15
167,176,20
175,176,20
168,169,15
180,169,15
168,175,20
174,175,25
169,170,15
186,170,15
173,170,20
169,174,20
173,174,25
74,171,10
8694,171,10
180,186,15
199,186,15
181,180,15
212,180,15
181,182,15
183,184,15
8371,184,10
183,166,15
935,166,15
184,185,15
922,185,10
185,181,15
185,167,15
8373,167,15
187,188,20
200,188,15
187,189,15
192,189,15
188,203,15
202,203,15
188,201,15
429,201,15
189,190,15
193,190,10
189,197,15
196,197,15
190,191,10
195,191,10
190,8352,10
192,193,15
193,194,10
337,194,10
194,195,10
341,195,10
196,187,20
191,198,10
8353,198,10
202,204,15
209,204,10
204,205,15
207,205,10
205,200,15
8351,200,15
206,199,10
213,199,15
199,8350,15
207,206,10
208,206,10
207,209,10
210,211,10
211,212,10
214,212,10
211,216,10
212,213,10
215,213,10
214,215,10
215,208,10
892,208,10
217,218,10
224,218,15
218,219,10
222,219,15
218,221,10
220,221,15
222,249,15
235,249,10
222,271,15
224,271,15
269,271,15
219,223,15
221,223,10
225,226,15
237,226,15
225,8196,15
226,224,15
227,228,10
227,236,10
246,236,10
229,230,10
254,230,10
229,233,10
232,233,10
230,231,10
252,231,10
230,234,10
233,234,10
232,269,10
238,269,10
234,235,10
231,235,10
234,222,10
238,237,10
237,270,10
236,238,10
236,268,10
239,240,10
239,242,10
239,7486,10
341,7486,10
240,241,10
243,241,10
240,243,10
242,244,10
243,244,10
244,245,10
255,245,10
241,248,10
249,250,15
256,250,10
250,251,15
299,251,10
258,252,10
254,252,10
258,259,10
282,259,10
231,256,10
259,256,10
253,254,10
266,254,10
253,258,10
260,258,10
256,257,10
284,257,10
255,261,10
8202,261,10
261,262,10
8203,262,10
262,263,10
267,263,10
263,264,10
8198,264,10
263,227,10
264,265,10
8199,265,10
265,266,10
275,266,10
266,229,10
228,229,10
267,273,10
247,246,10
8195,246,10
228,232,10
275,253,10
276,277,10
326,277,10
276,239,10
277,278,10
322,278,10
278,279,10
322,279,10
279,280,10
315,280,10
281,282,10
286,282,10
281,260,10
293,260,10
282,283,10
283,284,10
283,298,10
304,298,10
284,285,10
298,285,10
286,304,10
305,304,10
287,288,10
368,288,10
287,294,10
288,289,10
289,290,10
289,368,10
8200,368,10
289,8366,10
290,291,10
313,291,10
290,281,10
297,281,10
296,281,10
290,9104,10
291,292,10
314,292,10
292,293,10
367,293,10
294,295,10
294,303,10
354,303,10
356,303,10
295,296,10
303,296,10
295,297,10
8366,297,10
257,299,10
285,299,10
300,301,10
356,301,10
300,305,10
309,305,10
301,286,10
303,286,10
302,287,10
358,287,10
302,317,10
305,306,15
306,307,10
306,8559,15
307,308,15
307,342,10
309,384,10
392,384,10
309,385,10
9035,385,10
251,310,10
7407,310,15
314,312,10
8214,312,10
312,313,10
316,302,10
7743,302,10
317,318,10
319,318,10
318,311,10
319,320,10
324,320,10
320,321,10
325,321,10
321,328,10
326,328,10
328,322,10
323,324,10
361,324,10
323,364,10
369,364,10
324,325,10
8367,325,10
325,326,10
327,326,10
327,329,10
8357,329,10
327,8357,10
334,8357,10
329,330,10
329,276,10
340,276,10
7487,276,10
203,332,15
203,331,15
572,331,15
332,333,10
360,333,10
332,334,15
334,335,15
336,337,10
336,340,10
337,338,10
339,336,10
339,430,10
335,430,15
340,7485,10
342,343,10
342,381,10
308,381,10
343,344,15
343,1314,15
381,1314,10
345,346,10
357,346,10
345,347,10
349,350,10
358,350,10
349,379,10
353,354,10
352,354,10
353,380,10
355,380,10
355,356,10
355,9332,10
357,375,10
400,375,10
357,316,10
7987,316,10
346,348,10
8226,348,10
348,358,10
350,352,10
351,352,10
362,359,15
362,363,15
365,363,10
359,360,15
359,8368,15
360,8369,10
333,327,10
333,8367,10
363,323,10
365,371,10
311,366,10
311,8213,10
366,315,10
315,314,10
280,367,10
367,267,10
274,267,10
273,272,10
273,8198,10
272,275,10
272,8199,10
369,319,10
370,369,10
371,370,10
371,7743,10
372,373,10
374,373,10
372,374,10
8220,374,10
373,365,10
375,376,10
377,345,10
377,401,10
347,378,10
347,8226,10
378,349,10
378,427,10
459,427,10
379,351,10
379,412,10
351,353,10
382,383,15
423,383,15
384,300,10
386,387,15
395,387,10
386,9035,10
8559,9035,10
387,388,10
391,388,10
389,390,10
395,390,10
390,391,10
437,391,10
388,382,15
8559,382,15
392,355,10
396,394,10
393,394,10
396,389,10
405,389,10
436,389,10
396,405,10
407,405,10
394,395,10
397,398,10
8550,398,10
398,399,10
376,399,10
400,397,10
489,397,10
376,377,10
408,409,10
408,418,10
453,418,10
412,413,10
416,413,10
412,410,10
427,410,10
413,414,10
410,417,10
454,417,10
414,411,10
414,415,10
419,415,10
411,408,10
419,403,10
415,406,10
404,406,10
409,406,10
420,392,10
420,386,10
380,419,10
403,420,10
403,404,10
421,422,15
424,422,15
421,1353,15
1352,1353,15
422,423,15
425,423,15
424,425,10
424,437,10
435,437,10
425,426,15
418,407,10
406,407,10
436,432,10
431,432,10
428,339,10
428,429,10
335,429,15
430,428,15
431,433,10
447,433,10
434,435,10
432,435,10
434,421,10
440,421,15
442,438,15
443,438,10
442,441,15
1349,441,20
441,439,15
438,439,15
441,1347,20
498,1347,15
509,1347,20
443,444,10
460,444,10
444,445,10
448,445,10
445,446,10
449,446,10
446,447,10
450,447,10
433,434,10
448,449,10
451,449,10
449,450,10
452,450,10
450,431,10
451,452,10
452,453,10
417,453,10
454,451,10
456,451,10
455,456,10
457,456,10
455,460,10
463,460,10
457,8282,10
427,8282,10
458,459,10
401,459,10
458,457,10
465,457,10
460,448,10
462,455,10
463,464,10
504,464,15
461,463,10
461,500,10
464,443,10
465,462,10
500,462,10
399,466,10
401,466,10
401,402,10
466,458,10
467,468,15
561,468,15
467,476,15
474,476,15
467,569,15
468,469,15
469,470,20
560,470,15
469,474,15
470,471,15
471,472,15
492,472,15
7493,472,15
471,473,15
480,473,10
471,553,15
560,553,10
476,372,15
477,467,20
477,362,15
475,479,10
475,478,10
479,480,10
479,7739,10
480,487,10
489,487,10
473,481,10
482,484,10
486,484,10
482,483,15
491,483,15
484,485,10
488,485,10
486,488,10
489,488,10
481,486,10
487,486,10
481,482,15
490,489,10
485,465,10
483,465,10
474,475,10
491,493,15
483,502,15
493,492,15
7490,492,10
493,494,15
